6103,BORAH       345.00,1,0.130422468,,6103
6104,BORAH       230.00,1,0.13043686,,6104
6201,COLSTRP     500.00,1,0.130487805,,6201
6202,GARRISON    500.00,1,0.152477993,,6202
6203,COLSTRP     230.00,1,0.13043873,,6203
6204,GARRISON    230.00,1,0.130460704,,6204
6205,MONTANA     230.00,1,0.176470468,,6205
6301,BRIDGER     345.00,1,0.130450949,,6301
6302,LARAMIE     345.00,1,0.130477613,,6302
6303,BRIDGER2    230.00,1,0.130463085,,6303
6305,NAUGHTON    230.00,1,0.327931996,,6305
6401,TRACYSPP    345.00,1,0.130442192,,6401
6402,SUMITSPP    115.00,1,0.130511684,,6402
6403,VALMY       345.00,1,0.123748863,,6403
6404,GONDER      345.00,1,0.13026225,,6404
6501,BENLOMND    345.00,1,0.327943297,,6501
6502,CAMP WIL    345.00,1,0.178500968,,6502
6503,EMERY       345.00,1,0.327784238,,6503
6504,MONA        345.00,1,0.130418531,,6504
6505,PINTO       345.00,1,0.328329654,,6505
6507,SIGURD      345.00,1,-0.113455689,,6507
6508,SPAN FRK    345.00,1,0.327745498,,6508
6509,TERMINAL    345.00,1,0.327824974,,6509
6510,BENLOMND    230.00,1,-0.053379287,,6510
7001,COLOEAST    345.00,1,0.130448197,,7001
7002,CRAIG       345.00,1,-0.054042259,,7002
8003,COTWDWAP    230.00,1,0.130449904,,8003
8004,RNCHSECO    230.00,1,0.130444585,,8004
8005,TRACYPMP    230.00,1,0.130460977,,8005
